X[Hz],R[Vpk],I[Vpk],Mag[Vpk],P[deg]
3.00E+02,-1.76E-06,5.29E-07,1.84E-06,1.63E+02
3.02E+02,-1.01E-06,7.93E-07,1.29E-06,1.42E+02
3.04E+02,-4.45E-07,8.64E-07,9.72E-07,1.17E+02
3.06E+02,-4.14E-07,6.26E-07,7.50E-07,1.23E+02
3.08E+02,-2.85E-07,2.31E-07,3.67E-07,1.41E+02
3.10E+02,-3.99E-08,-1.38E-07,1.44E-07,-1.06E+02
3.12E+02,1.70E-07,-1.76E-07,2.45E-07,-4.59E+01
3.14E+02,2.84E-07,1.91E-07,3.42E-07,3.39E+01
3.16E+02,3.15E-07,5.37E-07,6.23E-07,5.96E+01
3.18E+02,3.82E-07,5.99E-07,7.10E-07,5.75E+01
3.20E+02,2.99E-07,6.29E-07,6.96E-07,6.46E+01
3.22E+02,-1.39E-08,8.22E-07,8.22E-07,9.10E+01
3.24E+02,-1.62E-07,9.40E-07,9.54E-07,9.98E+01
3.26E+02,-1.88E-08,6.93E-07,6.93E-07,9.16E+01
3.28E+02,1.32E-07,3.53E-07,3.77E-07,6.95E+01
3.30E+02,1.43E-07,3.58E-07,3.86E-07,6.83E+01
3.32E+02,1.07E-07,3.92E-07,4.06E-07,7.48E+01
3.34E+02,1.53E-07,1.65E-07,2.25E-07,4.73E+01
3.36E+02,1.55E-07,-4.50E-08,1.61E-07,-1.62E+01
3.38E+02,2.51E-08,-2.00E-07,2.02E-07,-8.28E+01
3.40E+02,4.67E-08,-3.31E-07,3.34E-07,-8.20E+01
3.42E+02,2.91E-07,-3.65E-07,4.67E-07,-5.15E+01
3.44E+02,3.78E-07,-3.88E-07,5.42E-07,-4.58E+01
3.46E+02,1.94E-07,-3.19E-07,3.74E-07,-5.87E+01
3.48E+02,3.84E-08,-6.82E-08,7.82E-08,-6.06E+01
3.50E+02,-3.95E-08,1.47E-07,1.52E-07,1.05E+02
3.52E+02,-1.56E-07,1.79E-07,2.37E-07,1.31E+02
3.54E+02,-2.29E-07,1.99E-07,3.03E-07,1.39E+02
3.56E+02,-7.98E-08,1.97E-07,2.13E-07,1.12E+02
3.58E+02,3.00E-07,-1.83E-08,3.01E-07,-3.48E+00
3.60E+02,4.58E-07,-2.29E-07,5.12E-07,-2.66E+01
3.62E+02,1.52E-07,-2.35E-07,2.80E-07,-5.72E+01
3.64E+02,-1.59E-07,-2.16E-07,2.68E-07,-1.26E+02
3.66E+02,-2.28E-07,-2.38E-07,3.30E-07,-1.34E+02
3.68E+02,-2.48E-07,-1.49E-07,2.89E-07,-1.49E+02
3.70E+02,-2.63E-07,7.50E-08,2.74E-07,1.64E+02
3.72E+02,-3.07E-07,2.57E-07,4.01E-07,1.40E+02
3.74E+02,-3.86E-07,3.09E-07,4.94E-07,1.41E+02
3.76E+02,-2.82E-07,2.93E-07,4.06E-07,1.34E+02
3.78E+02,-2.71E-08,3.28E-07,3.29E-07,9.47E+01
3.80E+02,9.97E-08,4.37E-07,4.48E-07,7.71E+01
3.82E+02,5.83E-08,3.78E-07,3.82E-07,8.12E+01
3.84E+02,6.35E-08,1.23E-07,1.38E-07,6.27E+01
3.86E+02,2.23E-07,-5.50E-08,2.30E-07,-1.38E+01
3.88E+02,3.33E-07,-5.45E-08,3.38E-07,-9.30E+00
3.90E+02,2.71E-07,1.07E-07,2.91E-07,2.16E+01
3.92E+02,1.26E-07,2.99E-07,3.24E-07,6.72E+01
3.94E+02,-4.71E-08,3.55E-07,3.58E-07,9.76E+01
3.96E+02,-1.33E-07,2.93E-07,3.22E-07,1.14E+02
3.98E+02,-4.22E-08,1.21E-07,1.28E-07,1.09E+02
4.00E+02,9.92E-08,-9.98E-08,1.41E-07,-4.52E+01
4.02E+02,1.51E-07,-2.29E-07,2.74E-07,-5.66E+01
4.04E+02,5.46E-08,-2.96E-07,3.01E-07,-7.95E+01
4.06E+02,-2.46E-07,-3.27E-07,4.09E-07,-1.27E+02
4.08E+02,-5.77E-07,-3.36E-07,6.68E-07,-1.50E+02
4.10E+02,-6.92E-07,-3.28E-07,7.65E-07,-1.55E+02
4.12E+02,-6.30E-07,-1.98E-07,6.61E-07,-1.63E+02
4.14E+02,-4.38E-07,7.31E-09,4.38E-07,1.79E+02
4.16E+02,-2.54E-07,1.49E-07,2.94E-07,1.50E+02
4.18E+02,-4.31E-07,1.84E-07,4.69E-07,1.57E+02
4.20E+02,-6.84E-07,5.34E-08,6.86E-07,1.76E+02
4.22E+02,-3.29E-07,-1.71E-07,3.71E-07,-1.53E+02
4.24E+02,3.90E-07,-1.83E-07,4.30E-07,-2.51E+01
4.26E+02,7.06E-07,4.86E-08,7.08E-07,3.93E+00
4.28E+02,5.33E-07,1.45E-07,5.52E-07,1.52E+01
4.30E+02,2.81E-07,6.18E-08,2.88E-07,1.24E+01
4.32E+02,1.56E-07,1.56E-07,2.21E-07,4.49E+01
4.34E+02,1.12E-07,4.39E-07,4.53E-07,7.57E+01
4.36E+02,6.98E-08,5.01E-07,5.06E-07,8.21E+01
4.38E+02,-1.40E-08,3.11E-07,3.12E-07,9.26E+01
4.40E+02,-1.08E-07,2.99E-07,3.18E-07,1.10E+02
4.42E+02,-8.62E-08,3.79E-07,3.89E-07,1.03E+02
4.44E+02,1.00E-07,2.15E-07,2.37E-07,6.50E+01
4.46E+02,2.76E-07,1.64E-08,2.76E-07,3.41E+00
4.48E+02,1.79E-07,-3.30E-08,1.82E-07,-1.04E+01
4.50E+02,-1.56E-07,8.40E-09,1.57E-07,1.77E+02
4.52E+02,-3.54E-07,1.10E-07,3.71E-07,1.63E+02
4.54E+02,-2.82E-07,1.74E-07,3.31E-07,1.48E+02
4.56E+02,-1.68E-07,1.84E-07,2.49E-07,1.32E+02
4.58E+02,-7.03E-08,1.72E-07,1.86E-07,1.12E+02
4.60E+02,9.60E-08,8.16E-08,1.26E-07,4.03E+01
4.62E+02,2.21E-07,-1.81E-08,2.22E-07,-4.68E+00
4.64E+02,2.13E-07,9.94E-09,2.14E-07,2.67E+00
4.66E+02,1.84E-07,-1.70E-08,1.85E-07,-5.28E+00
4.68E+02,1.30E-07,-2.69E-07,2.98E-07,-6.42E+01
4.70E+02,-1.00E-07,-4.50E-07,4.61E-07,-1.03E+02
4.72E+02,-3.92E-07,-3.86E-07,5.50E-07,-1.35E+02
4.74E+02,-4.06E-07,-2.76E-07,4.91E-07,-1.46E+02
4.76E+02,-1.96E-07,-1.47E-07,2.45E-07,-1.43E+02
4.78E+02,-1.15E-07,8.41E-08,1.43E-07,1.44E+02
4.80E+02,-1.89E-07,2.25E-07,2.94E-07,1.30E+02
4.82E+02,-2.64E-07,1.49E-07,3.03E-07,1.51E+02
4.84E+02,-2.45E-07,8.11E-08,2.59E-07,1.62E+02
4.86E+02,-1.06E-07,1.90E-07,2.18E-07,1.19E+02
4.88E+02,-5.62E-08,3.19E-07,3.24E-07,1.00E+02
4.90E+02,-1.97E-07,2.84E-07,3.45E-07,1.25E+02
4.92E+02,-2.85E-07,1.35E-07,3.16E-07,1.55E+02
4.94E+02,-2.07E-07,-1.64E-08,2.07E-07,-1.75E+02
4.96E+02,-1.35E-07,-1.26E-07,1.85E-07,-1.37E+02
4.98E+02,-1.76E-07,-8.94E-08,1.97E-07,-1.53E+02
5.00E+02,-2.53E-07,5.92E-08,2.60E-07,1.67E+02
5.02E+02,-3.59E-07,9.00E-08,3.70E-07,1.66E+02
5.04E+02,-4.79E-07,-4.71E-08,4.81E-07,-1.74E+02
5.06E+02,-4.99E-07,-1.60E-07,5.24E-07,-1.62E+02
5.08E+02,-3.95E-07,-6.77E-08,4.01E-07,-1.70E+02
5.10E+02,-1.97E-07,7.95E-08,2.12E-07,1.58E+02
5.12E+02,8.41E-08,-9.46E-09,8.46E-08,-6.42E+00
5.14E+02,2.96E-07,-2.45E-07,3.84E-07,-3.96E+01
5.16E+02,2.40E-07,-2.73E-07,3.63E-07,-4.87E+01
5.18E+02,5.85E-08,1.04E-07,1.19E-07,6.06E+01
5.20E+02,7.21E-09,5.34E-07,5.34E-07,8.92E+01
5.22E+02,4.57E-08,5.44E-07,5.46E-07,8.52E+01
5.24E+02,8.35E-08,3.23E-07,3.34E-07,7.55E+01
5.26E+02,9.81E-08,1.09E-07,1.46E-07,4.79E+01
5.28E+02,3.35E-08,-1.72E-07,1.75E-07,-7.90E+01
5.30E+02,-7.73E-08,-2.58E-07,2.69E-07,-1.07E+02
5.32E+02,-1.38E-07,-6.61E-08,1.53E-07,-1.54E+02
5.34E+02,-1.03E-07,-6.30E-08,1.20E-07,-1.48E+02
5.36E+02,-8.28E-08,-2.15E-07,2.31E-07,-1.11E+02
5.38E+02,-2.25E-07,-4.02E-08,2.29E-07,-1.70E+02
5.40E+02,-3.40E-07,2.47E-07,4.20E-07,1.44E+02
5.42E+02,-2.81E-07,2.21E-07,3.58E-07,1.42E+02
5.44E+02,-2.18E-07,1.35E-07,2.56E-07,1.48E+02
5.46E+02,-1.52E-07,2.03E-07,2.53E-07,1.27E+02
5.48E+02,2.01E-08,1.97E-07,1.98E-07,8.42E+01
5.50E+02,1.66E-07,1.14E-08,1.66E-07,3.94E+00
5.52E+02,1.53E-07,-1.66E-07,2.26E-07,-4.74E+01
5.54E+02,8.92E-08,-2.39E-07,2.55E-07,-6.95E+01
5.56E+02,1.09E-07,-2.19E-07,2.44E-07,-6.36E+01
5.58E+02,1.62E-07,-5.45E-08,1.71E-07,-1.86E+01
5.60E+02,8.05E-08,1.72E-07,1.90E-07,6.49E+01
