391.5,26.1,3.355,0.003664
392,26.13,3.34,0.003661
392.5,26.17,3.328,0.003651
393,26.2,3.317,0.003649
393.5,26.23,3.307,0.003653
394,26.27,3.3,0.003642
394.5,26.3,3.289,0.003645
395,26.33,3.277,0.003634
395.5,26.37,3.266,0.003649
396,26.4,3.257,0.003624
396.5,26.43,3.247,0.003637
397,26.47,3.236,0.00361
397.5,26.5,3.225,0.003625
398,26.53,3.211,0.003609
398.5,26.57,3.201,0.003608
399,26.6,3.193,0.003611
399.5,26.63,3.183,0.003598
400,26.67,3.17,0.003586
400.5,26.7,3.161,0.003594
401,26.73,3.152,0.003591
401.5,26.77,3.141,0.003584
402,26.8,3.13,0.003583
402.5,26.83,3.118,0.003592
403,26.87,3.109,0.003571
403.5,26.9,3.102,0.003583
404,26.93,3.095,0.00357
404.5,26.97,3.082,0.003572
405,27,3.071,0.003554
405.5,27.03,3.061,0.003568
406,27.07,3.046,0.003553
406.5,27.1,3.031,0.003551
407,27.13,3.019,0.00354
407.5,27.17,3.007,0.003549
408,27.2,2.991,0.003535
408.5,27.23,2.978,0.003535
409,27.27,2.964,0.003528
409.5,27.3,2.952,0.003531
410,27.33,2.942,0.003515
410.5,27.37,2.933,0.003513
411,27.4,2.926,0.003519
411.5,27.43,2.913,0.00351
412,27.47,2.899,0.003503
412.5,27.5,2.888,0.00351
413,27.53,2.879,0.003498
413.5,27.57,2.866,0.003499
414,27.6,2.858,0.003502
414.5,27.63,2.85,0.003487
415,27.67,2.844,0.003497
415.5,27.7,2.839,0.003486
416,27.73,2.834,0.003477
416.5,27.77,2.829,0.003494
417,27.8,2.825,0.003487
417.5,27.83,2.819,0.003483
418,27.87,2.819,0.003478
418.5,27.9,2.814,0.003478
419,27.93,2.81,0.003481
419.5,27.97,2.808,0.003467
420,28,2.808,0.003481
420.5,28.03,2.808,0.003479
421,28.07,2.803,0.00347
421.5,28.1,2.801,0.00348
422,28.13,2.799,0.003473
422.5,28.17,2.794,0.003466
423,28.2,2.787,0.003478
423.5,28.23,2.782,0.00347
424,28.27,2.777,0.00347
424.5,28.3,2.772,0.00347
425,28.33,2.77,0.003466
425.5,28.37,2.767,0.003469
426,28.4,2.766,0.003465
426.5,28.43,2.763,0.003472
427,28.47,2.76,0.003457
427.5,28.5,2.756,0.00347
428,28.53,2.752,0.003466
428.5,28.57,2.75,0.00346
429,28.6,2.745,0.003454
429.5,28.63,2.737,0.003462
430,28.67,2.731,0.003446
430.5,28.7,2.724,0.003458
431,28.73,2.717,0.003448
431.5,28.77,2.712,0.003448
432,28.8,2.709,0.003451
432.5,28.83,2.707,0.003445
433,28.87,2.705,0.003436
433.5,28.9,2.704,0.003437
434,28.93,2.702,0.003436
434.5,28.97,2.699,0.00344
435,29,2.697,0.003441
435.5,29.03,2.695,0.003443
436,29.07,2.692,0.003435
